N	X(Easting)	 Y(Northing)
1	518343.484	939578.250
1	527515.272	939583.179
2	527515.272	939583.179
2	527527.040	921157.335
3	527527.040	921157.335
3	536652.939	921164.099
4	536652.939	921164.099
4	535680.108	847181.369
5	535680.108	847181.369
5	481768.681	847451.137
6	481768.681	847451.137
6	481637.090	893264.455
7	481637.090	893264.455
7	472455.742	893518.912
8	472455.742	893518.912
8	472461.423	902731.755
9	472461.423	902731.755
9	472767.068	939408.025
10	472767.068	939408.025
10	518343.484	939578.250
